15142822 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=458 vpkt=501 gate=1 dfps=25 rfps=46 aclk=18.26 vclk=839.94
15143831 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=483 vpkt=526 gate=1 dfps=24 rfps=56 aclk=19.24 vclk=840.94
15144852 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=508 vpkt=551 gate=1 dfps=26 rfps=60 aclk=20.27 vclk=841.94
15145866 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=534 vpkt=577 gate=1 dfps=25 rfps=61 aclk=21.29 vclk=842.98
15146887 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=560 vpkt=603 gate=1 dfps=25 rfps=60 aclk=22.31 vclk=844.02
15147901 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=585 vpkt=628 gate=1 dfps=25 rfps=60 aclk=23.34 vclk=845.02
15148922 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=611 vpkt=654 gate=1 dfps=25 rfps=60 aclk=24.36 vclk=846.06
15149937 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=635 vpkt=678 gate=1 dfps=25 rfps=60 aclk=25.39 vclk=847.02
15150959 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=661 vpkt=704 gate=1 dfps=25 rfps=60 aclk=26.37 vclk=848.06
15151972 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=687 vpkt=730 gate=1 dfps=26 rfps=61 aclk=27.39 vclk=849.10
