# ps5-native-app-boilerplate - Observed libc API-surface manifest.
# Copyright (C) 2026 BlackBearReloaded
# SPDX-License-Identifier: GPL-3.0-or-later
#
# Interface metadata only: NID | ELF binding | ELF type | advertised size.
# No proprietary instructions, object contents, or implementation data.
akpGErA1zdg|1|2|0x26
JWBr5N8zyNE|1|2|0x24
rrgxakQtvc0|1|2|0x26
KqYTqtSfGos|1|2|0x24
eGkOpTojJl4|1|2|0x26
I6Z-684E2C4|1|2|0x24
wazw2x2m3DQ|1|2|0x26
GcFKlTJEMkI|1|2|0x24
wDmL2EH0CBs|1|2|0x10
D-qDARDb1aM|1|2|0x10
p6DbM0OAHNo|1|2|0x10
6A+1YZ79qFk|1|2|0x10
45E7omS0vvc|1|2|0xB
n0kT+8Eeizs|1|2|0x10
wjG0GyCyaP0|1|2|0x10
Ok8KPy3nFls|1|2|0x10
U7IhU4VEB-0|1|2|0x10
AEPvEZkaLsU|1|2|0x10
vqtytrxgLMs|1|2|0x10
1QcrrL9UDRQ|1|2|0x10
cjmSjRlnMAs|1|2|0x10
srzSVSbKn7M|1|2|0x24
xzZiQgReRGE|1|2|0xB
rHRr+131ATY|1|2|0xB
JHvEnCQLPQI|1|6|0x90
jr5yQE9WYdk|1|1|0x8
0hlfW1O4Aa4|1|2|0x8
efhK-YSUYYQ|1|2|0x64
hew0fReI2H0|1|2|0x55
j6OnScWpu7k|1|2|0x3C
ogPDBoLmCcA|1|2|0x1AA
TEd4egxRmdE|1|2|0x134
qVHpv0PxouI|1|2|0x5B
UbnVmck+o10|1|2|0x16
8hygs6D9KBY|1|2|0x14B
VUzjXknPPBs|1|2|0xBF
6eU9xX9oEdQ|1|2|0x5C
n7AepwR0s34|1|2|0x228
EMutwaQ34Jo|1|2|0x89
hcuQgD53UxM|1|2|0xEF
tLB5+4TEOK0|1|2|0xB
m5wN+SwZOR4|1|2|0x12
YQ0navp+YIc|1|2|0x58
DwcWtj3tSPA|1|2|0x89
UZJnC81pUCw|1|2|0xB
aW9KhGC4cOo|1|2|0x12
AEJdIVZTEmo|1|2|0x1E
3QIPIh-GDjw|1|2|0x2F
7XEv6NnznWw|1|2|0xEF
vZMcAfsA31I|1|2|0x1A
PtsB1Q9wsFA|1|2|0x20
QMFyLoqNxIg|1|2|0x114
Q3VBxCXhUHs|1|2|0x6DF
tcVi5SivF7Q|1|2|0xD4
1Pk0qZQGeWo|1|2|0xCA
v6rXYSx-WGA|1|2|0x164
gjbmYpP-XJQ|1|2|0x12
RIa6GnWp+iU|1|2|0xD
RBcs3uut1TA|1|2|0x39
Av3zjWi64Kw|1|2|0x12
kHg45qPC6f0|1|2|0x35
kDZvoVssCgQ|1|2|0x54
viiwFMaNamA|1|2|0x77
q5MWYCDfu3c|1|2|0xB
oVkZ8W8-Q8A|1|2|0x7A
mXlxhmLNMPg|1|2|0x5A
nW9JRkciRk4|1|2|0xD
VOBg+iNwB-4|1|2|0x5A
QxmSHBCuKTk|1|2|0x5A
5OqszGpy7Mg|1|2|0x5A
QNyUWGXmXNc|1|2|0xB
CpiD2ZXrhNo|1|2|0xDF
zogPrkd46DY|1|2|0xDF
nJz16JE1txM|1|2|0xE3
HNnWdT43ues|1|2|0xCA
PqF+kHW-2WQ|1|2|0x21
TYE4irxSmko|1|2|0x21
BEKIcbCV-MU|1|2|0xB
J3J1T9fjUik|1|2|0x10
1uf1SQsj5go|1|2|0x10
kBpWlgVZLm4|1|2|0xCC
FOe7cAuBjh8|1|2|0xCC
frx6Ge5+Uco|1|2|0x5B
qvTpLUKwq7Q|1|2|0x5F
RBPhCcRhyGI|1|2|0x6
QhORYaNkS+U|1|2|0x6
cRYyxdZo1YQ|1|2|0x6
-3ZujD7JX9c|1|2|0x6
fRWufXAccuI|1|2|0xD
1HYEoANqZ1w|1|2|0x8
SwJ-E2FImAo|1|2|0x3E
qXkZo1LGnfk|1|2|0x41
s+LfDF7LKxM|1|2|0x3E
SZrEVfvcHuA|1|2|0xC2
rBbtKToRRq4|1|2|0x3E
sDOFamOKWBI|1|2|0x41
0AgCOypbQ90|1|2|0x3E
bNFLV9DJxdc|1|2|0xB
KHJflcH9s84|1|2|0x6
TbuLWpWuJmc|1|2|0x7
-EgDt569OVo|1|2|0x6
+xoGf-x7nJA|1|2|0x31
cO0ldEk3Uko|1|2|0x7
9kSWQ8RGtVw|1|2|0x8
iPBqs+YUUFw|1|2|0x7
QVsk3fWNbp0|1|2|0x35
UVDWssRNEPM|1|2|0x45
PnfhEsZ-5uk|1|2|0x4B
Pn2dnvUmbRA|1|2|0x44
O6LEoHo2qSQ|1|2|0xB7
K49mqeyzLSk|1|2|0x45
SVIiJg5eppY|1|2|0x4B
R5X1i1zcapI|1|2|0x44
++In3PHBZfw|1|2|0xB7
-Zfr0ZQheg4|1|2|0x9
ovtwh8IO3HE|1|2|0xA
2HnmKiLmV6s|1|2|0x9
T8lH8xXEwIw|1|2|0x38
Z9gbzf7fkMU|1|2|0x45
rpl4rhpUhfg|1|2|0x4B
-GVEj2QODEI|1|2|0x44
XKenFBsoh1c|1|2|0xB7
4CVc6G8JrvQ|1|2|0x1E
Ou6QdDy1f7g|1|2|0x9
XAqAE803zMg|1|2|0x3
aYVETR3B8wk|1|2|0x4
cjZEuzHkgng|1|2|0x3
ea-rVHyM3es|1|2|0x20
HfKQ6ZD53sM|1|2|0x1
VRX+Ul1oSgE|1|2|0x1B
6WR6sFxcd40|1|2|0x1B
HMRMLOwOFIQ|1|2|0x18
2uKxXHAKynI|1|2|0x4
-7vr7t-uto8|1|2|0xF
gYFKAMoNEfo|1|2|0xEC
-LFO7jhD5CE|1|2|0x8D
Nz7J62MvgQs|1|2|0x77
pDBDcY6uLSA|1|2|0x49
lckWSkHDBrY|1|2|0x49
M2bGWSqt764|1|2|0x49
WF4fBmip+38|1|2|0x49
GMpvxPFW924|1|2|0x4E
j7Jk3yd3yC8|1|2|0x4E
Q2V+iqvjgC0|1|2|0x69
jbz9I9vkqkk|1|2|0x32
UTrpOVLcoOA|1|2|0x4B
u0XOsuOmOzc|1|2|0x6B
KGotca3AjYw|1|2|0x4B
QuF2rZGE-v8|1|2|0x4E
QNwdOK7HfJU|1|2|0x4E
y9OoA+P5cjk|1|2|0x77
KZm8HUIX2Rw|1|2|0x43
Ezzq78ZgHPs|1|2|0x26
pNtJdE3x49E|1|2|0x36
wmkXFgerLnM|1|2|0x1C6
fV2xHER+bKE|1|2|0x12
FM5NPnLqBc8|1|2|0x22
7eNus40aGuk|1|2|0x5B
XbVXpf5WF28|1|2|0x12C
WkkeywLJcgU|1|2|0x22
pA9N3VIgEZ4|1|2|0x4F
E8wCoUEbfzk|1|2|0x39
0nV21JjYCH8|1|2|0xBF
H4MCONF+Gps|1|2|0x57
