# ps5-native-app-boilerplate - Observed libc API-surface manifest.
# Copyright (C) 2026 BlackBearReloaded
# SPDX-License-Identifier: GPL-3.0-or-later
#
# Interface metadata only: NID | ELF binding | ELF type | advertised size.
# No proprietary instructions, object contents, or implementation data.
Fwow0yyW0nI|1|2|0x77
MXRNWnosNlM|1|2|0x31
Q+xU11-h0xQ|1|2|0x31
2eQpqTjJ5Y4|1|2|0xE3
yPPtp1RMihw|1|2|0xF5
OXmauLdQ8kY|1|2|0x1DB
KvOHPTz595Y|1|2|0x1E4
5ZkEP3Rq7As|1|2|0xF6
GlelR9EEeck|1|2|0xA6
lO01m-JcDqM|1|2|0x1B5
gacfOmO8hNs|1|2|0x128
GAUuLKGhsCw|1|2|0x95
aJKn6X+40Z8|1|2|0x2BD
BEFy1ZFv8Fw|1|2|0x1D
x-04iOzl1xs|1|2|0x17
j84nSG4V0B0|1|2|0x2B
2WE3BTYVwKM|1|2|0x3DA
-P6FNMzk2Kc|1|2|0x2EE
x8dc5Y8zFgc|1|2|0x310
oXgaqGVnW5o|1|2|0x41E
arIKLlen2sg|1|2|0x41F
IvF98yl5u4s|1|2|0x41F
RePA3bDBJqo|1|2|0x41E
dnaeGXbjP6E|1|2|0x188
wuAQt-j+p4o|1|2|0x13F
gqKfOiJaCOo|1|2|0x30B
3EgxfDRefdw|1|2|0x28D
fmT2cjPoWBs|1|2|0xE
w-AryX51ObA|1|2|0x1E
Zs4p6RemDxM|1|2|0x54
yb9iUBPkSS0|1|2|0x54
IMt+UO5YoQI|1|2|0x53
TJFQFm+W3wg|1|2|0x17
2nqzJ87zsB8|1|2|0x12
mpcTgMzhUY8|1|2|0x130
mKhVDmYciWA|1|2|0x99
06QaR1Cpn-k|1|2|0x2BD
uMeLdbwheag|1|2|0x47E
fiOgmWkP+Xc|1|2|0xA4
Lyx2DzUL7Lc|1|2|0x94
0H5TVprQSkA|1|2|0x94
iU0z6SdUNbI|1|2|0xA4
uVRcM2yFdP4|1|2|0x94
DQ7K6s8euWY|1|2|0x90
kA-TdiOCsaY|1|2|0x86
aaDMGGkXFxo|1|2|0x5E
YZk9sHO0yNg|1|2|0x9B
h6pVBKjcLiU|1|2|0x8A
0dQrYWd7g94|1|2|0x55
wXs12eD3uvA|1|2|0x9C
dhK16CKwhQg|1|2|0x1B
Q8pvJimUWis|1|2|0x16
3-zCDXatSU4|1|2|0x12
GfxAp9Xyiqs|1|2|0x39
lA94ZgT+vMM|1|2|0x23
YBRHNH4+dDo|1|2|0x32
20qj+7O69XY|2|2|0x39
3pF7bUSIH8o|2|2|0x23
fGPRa6T+Cu8|1|2|0x1F
WkYnBHFsmW4|1|2|0x1F
S3nFV6TR1Dw|1|2|0x1B
w-BvXF4O6xo|1|2|0x10
eQhBFnTOp40|1|2|0x10
wRs5S54zjm0|1|2|0x20
VfsML+n9cDM|1|2|0x2B7
MFe91s8apQk|1|2|0x29B
owKuegZU4ew|1|2|0x6A
RWqyr1OKuw4|1|2|0x63
J3XuGS-cC0Q|1|2|0x10
C6gWCWJKM+U|1|2|0x10
4ITASgL50uc|1|2|0x20
3+UPM-9E6xY|1|2|0x71
tG8pGyxdLEs|1|2|0xE7
cJLTwtKGXJk|1|2|0x56
c+4r-T-tEIc|1|2|0x56
6n23e0gIJ9s|1|2|0x5D
h+J60RRlfnk|1|2|0x148
3m2ro+Di+Ck|1|2|0xFD
R0-hvihVoy0|1|2|0x1FF
ryyn6-WJm6U|1|2|0x1FF
-Q6FYBO4sn0|1|2|0x16D
QaTrhMKUT18|1|2|0x13E
LxGIYYKwKYc|1|2|0x175
q5WzucyVSkM|1|2|0x8F
nlaojL9hDtA|1|2|0x86
DDHG1a6+3q0|1|2|0x87
8F1ctQaP0uk|1|2|0x76
7Jp3g-qTgZw|1|2|0x25
S6LHwvK4h8c|1|2|0x25
NFxDIuqfmgw|1|2|0x19
Rw4J-22tu1U|1|2|0xD
CjQROLB88a4|1|2|0xB
Cj81LPErPCc|1|2|0xB
5gOOC0kzW0c|1|1|0x4
cCXjU72Z0Ow|1|2|0x16
H8ya2H00jbI|1|2|0x3D4
jMB7EFyu30Y|1|2|0x4E3
pztV4AF18iI|1|2|0x726
ZtjspkJQ+vw|1|2|0x16
Q4rRL34CEeE|1|2|0x318
m-Bu5Tzr82A|1|2|0x27
vxgqrJxDPHo|1|2|0x323
T7uyNqP7vQA|1|2|0x370
ZE6RNL+eLbk|1|2|0x2F1
JM4EBvWT9rc|1|2|0xE0
SAd0Z3wKwLA|1|2|0xEE
QL+3q43NfEA|1|2|0x2FD
B2ZbqV9geCM|1|2|0x13
a4gLGspPEDM|1|2|0xCB
Vo8rvWtZw3g|1|2|0x74
apdxz6cLMh8|1|2|0x115
5OpjqFs8yv8|1|2|0xB
Gt5RT417EGA|1|2|0xB
-431A-YBAks|1|2|0x6
KPsQA0pis8o|1|2|0x6
6bRANWNYID0|1|2|0xD
txJTOe0Db6M|1|2|0x9
VOKOgR7L-2Y|1|2|0x6
rcVv5ivMhY0|1|2|0x6
jp2e+RSrcow|1|2|0xD
Yy5yMiZHBIc|1|2|0x7
KGKBeVcqJjc|1|2|0x21
kn0yiYeExgA|1|2|0x21
9fs1btfLoUs|1|2|0x21
l3fh3QW0Tss|1|2|0x11
ys1W6EwuVw4|1|2|0x38
2HED9ow7Zjc|1|2|0x2E
v9XNTmsmz+M|1|2|0x4A
3CAYAjL-BLs|1|2|0x247
mhIInD5nz8I|1|2|0x20B
8gG-+co6LfM|1|2|0x5
gsnW-FWQqZo|1|2|0x4
IjlonFkCFDs|1|2|0xD
CS91br93fag|1|2|0x39
ECUHmdEfhic|1|2|0x31
fSZ+gbf8Ekc|1|2|0x3D
7+0ouwmGDww|1|2|0x33
gCf7+aGEhnU|1|2|0x1B
ptL8XWgpGS4|1|2|0x7A
jPywoVsPVR8|1|2|0x17
OvbYtSGnzFk|1|2|0x2F
u2kPEkUHfsg|1|2|0x24
8F52nf7VDS8|1|2|0x55
hXA24GbAPBk|1|2|0x50
1PvImz6yb4M|1|2|0x50
F78ECICRxho|1|2|0x55
tcBJa2sYx0w|1|2|0x55
ocyIiJnJW24|1|2|0x55
EDvkw0WaiOw|1|2|0x32
LmXIpdHppBM|1|2|0x4E
mdLGxBXl6nk|1|2|0x49
ICY0Px6zjjo|1|2|0x49
hbiV9vHqTgo|1|2|0x4E
259y57ZdZ3I|1|2|0x4E
OWZ3ZLkgye8|1|2|0x4E
z0OhwgG3Bik|1|2|0x2A
yDPuV0SXp7g|1|2|0x1B
2NvhgiBTcVE|1|2|0x6C
olBDzD1rX2Y|1|2|0x17
eTP9Mz4KkY4|1|2|0x2C8
mdGgLADsq8A|1|2|0x296
9daYeu+0Y-A|1|2|0x38
1rs4-h7Fq9U|1|2|0x2D
rtBENmz8Iwc|1|2|0x2B
dcaiFCKtoDg|1|2|0x2D7
nufufTB4jcI|1|2|0x1EF
zdJ3GXAcI9M|1|2|0x1C
XU4yLKvcDh0|1|2|0x4A
SNdBm+sNfM4|1|2|0x2FF
6zU++1tayjA|1|2|0xA0
r3tNGoVJ2YA|1|2|0x1E
b54DvYZEHj4|1|2|0x1E
q9SHp+5SOOQ|1|2|0x61
saNCRNfjeeg|1|2|0x60
cY4yCWdcTXE|1|2|0x9B
0eoyU-FoNyk|1|2|0x4C
3qQmz11yFaA|1|2|0x4A
IHq2IaY4UGg|1|2|0x8D
h8nbSvw0s+M|1|2|0x57
6WwFtNvnDag|1|2|0x40
rLuypv9iADw|1|2|0x8F
Qa6HUR3h1k4|1|2|0x40
NcZqFTG-RBs|1|2|0x40
mCESRUqZ+mw|1|2|0x80
DG8dDx9ZV70|1|2|0x61
dtMu9zCDn3s|1|2|0x5F
l0qC0BR1F44|1|2|0xB3
31g+YJf1fHk|1|2|0x6F
usQDRS-1HZ8|1|2|0xC0
X7A21ChFXPQ|1|2|0x50
rdht7pwpNfM|1|2|0x82
EtpM9Qdy8D4|1|2|0x16C
VlDpPYOXL58|1|2|0x159
dJvVWc2jOP4|1|2|0x189
OdvMJCV7Oxo|1|2|0x3A
RC3VBr2l94o|1|2|0x6C
ibs6jIR0Bw0|1|2|0x162
KLfd8g4xp+c|1|2|0x10C
OdzLUcBLhb4|1|2|0x158
18E1gOH7cmk|1|2|0x3D
1iRAqEqEL0Y|1|2|0x31
gQFVRFgFi48|1|2|0x66
k0vARyJi9oU|1|2|0x1E
J8JRHcUKWP4|1|2|0x75
D4Hf-0ik5xU|1|2|0x1AA
O+Bv-zodKLw|1|2|0x25E
Hf8hPlDoVsw|1|2|0x68
wVbBBrqhwdw|1|2|0x9B
DDxNvs1a9jM|1|2|0x83
+X-5yNFPbDw|1|2|0x129
y+E+IUZYVmU|1|2|0x17E
BXmn6hA5o0M|1|2|0x1E1
zhAIFVIN1Ds|1|2|0x58
Uyfpss5cZDE|1|2|0x10D
tFgzEdfmEjI|1|2|0xE8
6gc1Q7uu244|1|2|0x1A6
gZWsDrmeBsg|1|2|0x3A4
tWI4Ej9k9BY|1|2|0x9
Rj4qy44yYUw|1|2|0x7
4f+Q5Ka3Ex0|1|2|0xE
Zofiv1PMmR4|1|2|0xC
fh54IRxGBUQ|1|2|0x34
7xnsvjuqtZQ|1|2|0x2B
QW-f9vYgI7g|1|2|0x3C
RDeUB6JGi1U|1|2|0x16
9xUnIQ53Ao4|1|2|0x25
vBP4ytNRXm0|1|2|0xE
m4S+lkRvTVY|1|2|0x62
IBn9qjWnXIw|1|2|0x3B
l1wz5R6cIxE|1|2|0x8E
H+8UBOwfScI|1|2|0x5C
EiMkgQsOfU0|1|2|0x5C
DSI7bz2Jt-I|1|2|0x62
HLDcfGUMNWY|1|2|0x13
FeyelHfQPzo|1|2|0x18
+kvyBGa+5VI|1|2|0x7
y8j-jP6bHW4|1|2|0x5
cbyLM5qrvHs|1|2|0xD
2M9VZGYPHLI|1|2|0x108
SZk+FxWXdAs|1|2|0x2F
dLmvQfG8am4|1|2|0x24
tX8ED4uIAsQ|1|2|0xD
EWWEBA+Ldw8|1|2|0x2D7
PPdIvXwUQwA|1|2|0x2B
lcNk3Ar5rUQ|1|2|0x2D7
PxP1PFdu9OQ|1|2|0x67
802pFCwC9w0|1|2|0xE
+wj27DzRPpo|1|2|0x3B
p4vYrlsVpDE|1|2|0x1E
ELSr5qm4K1M|1|2|0x3F
BMVIEbwpP+8|1|2|0x6
2SSK3UFPqgQ|1|2|0x6
MVPtIf3MtL8|1|2|0xA
JZWEhLSIMoQ|1|2|0x3A
+WLgzxv5xYA|1|2|0x38
XmAquprnaGM|1|2|0x38
GE4I2XAd4G4|1|2|0x38
Z2I0BWPANGY|1|2|0x38
d5Q-h2wF+-E|1|2|0x38
ufZdCzu8nME|1|2|0x2C
1RNxpXpVWs4|1|2|0x29
9tnIVFbvOrw|1|2|0x29
3A9RVSwG8B0|1|2|0x16
+5IOQncui3c|1|2|0x8
8DNJW5tX-A8|2|2|0x1D
U3b5A2LEiTc|2|2|0xB
8rd5FvOFk+w|1|1|0x18
ObdBkrZylOg|1|1|0x17
AZGKZIVok6U|1|1|0x30
yc-vi84-2aE|1|2|0x1
H7-7Z3ixv-w|1|2|0x7F
PBbZjsL6nfc|1|2|0x7F
fLBZMOQh-3Y|1|2|0x7F
xZqiZvmcp9k|1|2|0x7F
a-z7wxuYO2E|1|2|0x54
uhnb6dnXOnc|1|2|0x9F
dGYo9mE8K2A|1|2|0xF7
XyJPhPqpzMw|1|2|0x7A
gjLRZgfb3i0|1|2|0x7A
QQsnQ2bWkdM|2|1|0x10
qR6GVq1IplU|2|1|0x8
CRoMIoZkYhU|2|1|0x18
PG-2ZeVVWZE|2|2|0x1D
vX+NfOHOI5w|2|2|0xB
o27+xO5NBZ8|1|2|0x49
cjmJLdYnT5A|1|2|0x49
Q+ZnPMGI4M0|2|2|0x1D
NOaB7a1PZl8|2|2|0xB
2iW5Fv+kFxs|2|2|0xF
9HILqEoh24E|2|2|0x200
xSxPHmpcNzY|2|2|0x195
yZmHOKICuxg|2|1|0x18
qcaIknDQLwE|2|1|0x18
y-bbIiLALd4|2|1|0x1E
hmHH6DsLWgA|2|1|0x29
WJU9B1OjRbA|2|1|0x30
ouXHPXjKUL4|2|1|0x30
vYWK2Pz8vGE|1|2|0x18B
aqyjhIx7jaY|1|2|0x66
N5nZ3wQw+Vc|1|2|0xB
LLssoYjMOow|1|2|0x1
zb3436295XU|1|2|0x1
xX6s+z0q6oo|1|1|0x10
WG7lrmFxyKY|1|1|0xD
749AEdSd4Go|1|1|0x20
L7Vnk06zC2c|1|2|0xA
1h8hFQghR7w|1|2|0xA
qMXslRdZVj4|1|2|0xA
vU9svJtEnWc|1|2|0xA
4rrOHCHAV1w|1|2|0xA
8tL6yJaX1Ro|1|1|0x1
4EkPKYzOjPc|1|1|0x4
LTov9gMEqCU|1|2|0x78
I5jcbATyIWo|1|2|0x1D
X9D8WWSG3As|1|2|0xEF
P8F2oavZXtY|1|2|0xEF
wiR+rIcbnlc|1|1|0x18
FQ9NFbBHb5Y|1|1|0x8
sIvK5xl5pzw|2|1|0x10
BJCgW9-OxLA|1|1|0x18
uO6YxonQkJI|2|1|0xC
Nr+GiZ0tGAk|1|1|0xC
AJsqpbcCiwY|1|1|0x20
Cqpti4y-D3E|1|1|0x5F
0ND8MZiuTR8|2|1|0x8
2w+4Mo2DPro|2|2|0x29
WXOoCK+kqwY|2|2|0xC
7glioH0t9HM|2|2|0x29
mnq3tbhCs34|2|2|0xC
W5OtP+WC800|2|2|0x1E
zwcNQT0Avck|2|2|0x3
-nCVE3kBjjA|2|2|0x1E
4SnCJmLL27U|2|2|0x3
6ZDv6ZusiFg|2|2|0x21
tJU-ttrsXsk|2|2|0xF
gVTWlvyBSIc|2|2|0x94
nk+0yTWvoRE|2|2|0xAA
lTTrDj5OIwQ|2|2|0x21
HpCeP12cuNY|2|2|0xF
0Ir3jiT4V6Q|2|2|0xA0
qiR-4jx1abE|2|2|0x10E
QqBWUNEfIAo|2|2|0xE3
pGxNI4JKfmY|2|2|0x128
oly3wSwEJ2A|2|2|0xF5
VNaqectsZNs|2|2|0x42
9biiDDejX3Q|2|2|0x17
qM0gUepGWT0|2|2|0x7E
jfr41GGp2jA|2|2|0x35A
SYFNsz9K2rs|2|2|0x14E
yofHspnD9us|2|2|0x17
7oio2Gs1GNk|2|2|0x160
rsS5cBMihAM|2|2|0x175
oYMRgkQHoJM|2|2|0x2FA
JTwt9OTgk1k|2|2|0x225
jerxcj2Xnbg|2|2|0xD6
Nl6si1CfINw|2|2|0x52
MYCRRmc7cDA|2|2|0x1D
Yc2gZRtDeNQ|2|2|0xB
gOxGOQmSVU0|2|2|0xC7
VpwymQiS4ck|2|2|0xCA
sXaxl1QGorg|2|2|0xC5
IAEl1Ta7yVU|2|2|0x3
p8-44cVeO84|2|2|0x4D
tPsGA6EzNKA|2|2|0x3B
AgxEl+HeWRQ|2|2|0x2F
-EgSegeAKl4|2|2|0x16
QZb07KKwTU0|1|1|0x4
sqWytnhYdEg|1|2|0x3D0
bTQcNwRc8hE|1|2|0x3D0
kxXCvcat1cM|1|2|0x74
bxLH5WHgMBY|1|2|0x74
QXJCcrXoqpU|2|2|0x148
UQPicLg8Sx8|2|2|0x86
2WVBaSdGIds|1|1|0x68
TVfbf1sXt0A|1|1|0x60
jSquWN7i7lc|1|1|0x60
5PfqUBaQf4g|1|1|0x60
sJUU2ZW-yxU|2|1|0x18
U1CBVMD42HA|2|1|0x28
iLSavTYoxx0|2|1|0x28
2GWRrgT8o20|2|1|0x18
n7iD5r9+4Eo|2|1|0x10
STNAj1oxtpk|2|1|0x18
ymXfiwv59Z0|2|1|0x10
gZvNGjQsmf8|2|1|0x18
7f4Nl2VS0gw|2|1|0x18
RVDooP5gZ4s|2|1|0x12
46haDPRVtPo|2|1|0x3
RgJjmluR+QA|2|1|0x3
idsapmYZ49w|2|1|0xF
FAah-AY8+vY|2|1|0x10
WYWf+rJuDVU|2|1|0x27
IfWUkB7Snkc|2|1|0x29
jUQ+FlOMEHk|2|1|0xC
TuKJRIKcceA|2|1|0x22
+8jItptyeQQ|2|1|0x50
qjyK90UVVCM|2|1|0x50
rSADYzp-RTU|2|1|0x90
GKWcAz6-G7k|2|1|0x70
0bGGr4zLE3w|2|2|0x2A
+Uuj++A+I14|2|2|0x17
QJJ-4Dgm8YQ|2|2|0x2A
kvqg376KsJo|2|2|0x17
jfq92K8E1Vc|2|1|0x10
ptwhA0BQVeE|1|2|0x169
uuga3RipCKQ|1|2|0xE9
5r801ZWiJJI|1|2|0x4D1
WViwxtEKxHk|1|2|0xE5
dsJKehuajH4|1|2|0xE5
pMWnITHysPc|2|2|0x2C
WkAsdy5CUAo|1|2|0x49
L1Ze94yof2I|1|2|0xB4
i180MNC9p4c|1|2|0xB4
zugltxeIXM0|1|2|0x29
Qoo175Ig+-k|1|1|0x8
H0FQnSWp1es|1|2|0x22
chzmnjxxVtk|1|2|0x62
8Jr4cvRM6EM|1|2|0x8
bEk+WGOU90I|1|2|0x33
pSQz254t3ug|2|2|0x4B
Ej0X1EwApwM|2|2|0x65
ATYj6zra5W0|2|2|0x38
r1W-NtOi6E8|2|2|0x65
JsZjB3TnZ8A|2|2|0x38
Kbe+LHOer9o|2|2|0x4B
D0lUMKU+ELI|2|2|0x72
rh7L-TliPoc|2|2|0x28
KM0b6O8show|2|2|0xB9
h3PbnNnZ-gI|2|2|0x69
Vf68JAD5rbM|2|2|0xAF
V+c0E+Uqcww|2|2|0x62
aUNISsPboqE|2|2|0x47
uUDq10y4Raw|2|2|0x4
E64hr8yXoXw|2|2|0x4
VhyjwJugIe8|2|2|0x47
C3LC9A6SrVE|2|2|0x4
tZj4yquwuhI|2|2|0x4
Rqu9OmkKY+M|2|2|0x47
ARZszYKvDWg|2|2|0x47
6aFwTNpqTP8|2|2|0x4
ckD5sIxo+Co|2|2|0x47
UzmR8lOfyqU|2|2|0x4
zF2GfKzBgqU|2|2|0x4
ypq5jFNRIJA|2|2|0x4A
ij-yZhH9YjY|2|2|0x4
v8P1X84ytFY|2|2|0x5
zkUC74aJxpE|2|2|0x4A
PWFePkVdv9w|2|2|0x4A
XX+xiPXAN8I|2|2|0x5
Ti86LmOKvr0|2|2|0x270
IJmeA5ayVJA|2|2|0x1B0
rX58aCQCMS4|1|1|0x8
Cv+zC4EjGMA|1|1|0x8
VmqsS6auJzo|1|1|0x8
zOPA5qnbW2U|2|2|0x3B
P0383AW3Y9A|2|2|0x29
hEQ2Yi4PJXA|1|2|0x8
1TaQLyPDJEY|1|2|0x33
H4fcpQOpc08|1|1|0x4
9rMML086SEE|1|2|0xD
K-5mtupQZ4g|1|2|0x57
QW2jL1J5rwY|1|2|0x45
9FF+T5Xks9E|1|1|0x8
6b3KIjPD33k|1|2|0x31
zrmR88ClfOs|1|2|0x31
bleKr8lOLr8|1|2|0x1D
aD-iqbVlHmQ|1|2|0xA0
So6gSmJMYDs|1|2|0xA0
Uq5K8tl8I9U|1|2|0x14
m7qAgircaZY|2|2|0x185
Lzj4ws7DlhQ|2|2|0x15
0AeC+qCELEA|2|2|0xB
iCoD0EOIbTM|2|2|0x24D
8UeuxGKjQr8|2|2|0x15
0TADyPWrobI|2|2|0xB
u2MAta5SS84|1|1|0x8
xM5re58mxj8|1|1|0x8
FjZCPmK0SbA|1|1|0x8
hqi8yMOCmG0|1|2|0x89
2aSk2ruCP0E|1|2|0x9A
pN02FS5SPgg|1|2|0x89
ReK9U6EUWuU|1|2|0x9A
p6LrHjIQMdk|1|2|0x26
YXVCU6PdgZk|1|2|0x26
8Wc+t3BCF-k|1|1|0x18
IBtzswgYU3A|2|1|0x18
Fj7VTFzlI3k|2|1|0x18
weALTw0uesc|2|1|0x18
DaYYQBc+SY8|2|1|0x18
JjTc4SCuILE|1|1|0x14
VxObo0uiafo|2|1|0xF
1jUJO+TZm5k|2|1|0xC
LfMY9H6d5mI|2|1|0xE
mh9Jro0tcjg|2|1|0xE
QGkJzBs3WmU|1|1|0x30
qdHsu+gIxRo|2|1|0x90
6gAhNHCNHxY|2|1|0x78
+hlZqs-XpUM|2|1|0x78
NLwJ3q+64bY|1|1|0x1
u0yN6tzBors|1|1|0x8
Zn44KZgJtWY|1|2|0x3F
pDFe-IgbTPg|1|2|0x1D
VoUwme28y4w|1|1|0x4
DSnq6xesUo8|2|1|0x8
Q0VsWTapQ4M|2|2|0x8
nWfZplDjbxQ|2|2|0x78
QUeUgxy7PTA|2|1|0x8
WDKzMM-uuLE|2|2|0x1D
xsXQD5ybREw|2|2|0xB
vI85k3GQcz8|1|2|0x8
0r8rbw2SFqk|1|2|0x19
PjwbqtUehPU|1|2|0x53
cPNeOAYgB0A|1|2|0x19
DNbsDRZ-ntI|1|2|0x33
3aZN32UTqqk|2|1|0x18
+Le0VsFb9mE|2|1|0x18
ouo2obDE6yU|2|1|0x1B
88Fre+wfuT0|2|1|0x1C
YHfG3-K23CY|2|1|0x48
QfPuSqhub7o|1|2|0x4D
lrQSsTRMMr4|1|2|0xC
Gav1Xt1Ce+c|1|2|0x93
Ozk+Z6QnlTY|1|2|0x400
diSRws0Ppxg|1|1|0x8
xsRN6gUx-DE|1|1|0x8
ybn35k-I+B0|1|1|0x100
T+zVxpVaaTo|1|1|0x100
2G1UznxkcgU|2|1|0x8
DjLpZIMEkks|2|1|0x8
ieNeByYxFgA|2|1|0x8
9hB8AwIqQfs|1|2|0x10
GthClwqQAZs|1|2|0x29
8SDojuZyQaY|1|2|0xA
ww3UUl317Ng|2|2|0x44
dXy+lFOiaQA|2|2|0x8
HpAlvhNKb2Y|2|2|0x81
xvVR0CBPFAM|2|2|0x8
KZ++filsCL4|2|2|0x81
sb2vivqtLS0|2|2|0x8
n9-NJEULZ-0|2|2|0xB1
3CtP20nk8fs|2|1|0x8
fMfCVl0JvfE|2|1|0x8
D5m73fSIxAU|2|1|0x8
g8Jw7V6mn8k|1|2|0x1
Dc4ZMWmPMl8|2|2|0xB
hVQgfGhJz3U|2|2|0x1
YBrp9BlADaA|2|2|0xB
MAalgQhejPc|2|2|0x1
jVwxMhFRw8Q|2|2|0xB
27Z-Cx1jbkU|2|2|0x1
PDX01ziUz+4|1|2|0x29
aotaAaQK6yc|1|2|0x8
YxwfcCH5Q0I|1|2|0x8
V23qt24VPVs|1|2|0x8
cbvW20xPgyc|1|1|0x10
QLqM1r9nPow|2|1|0x18
FCuvlxsgg0w|2|1|0x18
u5zp3yXW5wA|1|1|0x13
iwIUndpU5ZI|2|1|0x1B
ItmiNlkXVkQ|2|1|0x1D
lF66NEAqanc|1|1|0x48
qTwVlzGoViY|2|1|0x48
UuVHsmfVOHU|2|1|0x48
lJPCM50sdTc|2|1|0x48
4QwxZ3U0OK0|1|2|0xB
Zmeuhg40yNI|2|1|0x1
mhR3IufA7fE|2|1|0x1
kFYQ4d6jVls|2|1|0x1
bRujIheWlB0|1|2|0x4A
W0j6vCxh9Pc|1|2|0x72
yYk819F9TyU|1|2|0xE6
bl0DPP6kFBk|1|2|0xAF
DWMcG8yogkY|1|2|0xE2
G1kDk+5L6dU|1|2|0x7F
DiGVep5yB5w|1|2|0x9D
VrWUXy1gqn8|1|2|0x29
Nmtr628eA3A|1|2|0xB
mDIHE-aaRaI|1|2|0x5
O2wxIdbMcMQ|2|1|0x8
oDtGxrzLXMU|2|2|0xCA
4fPIrH+z+E4|2|2|0x3
5BQIjX7Y5YU|2|2|0x6
KheIhkaSrlA|2|2|0x3
WAPkmrXx2o8|2|2|0xD4
ABFE75lbcDc|2|2|0x14B
G1zcPUEvY7U|2|2|0xE9
+WvmZi3216M|2|2|0x42
GYTma8zq0NU|2|2|0x17
kmzNbhlkddA|2|2|0x7E
VrXGNMTgNdE|2|2|0x35A
wAcnCK2HCeI|2|2|0x124
ryl2DYMxlZ0|2|2|0x17
g7gjCDEedJA|2|2|0x165
10VcrHqHAlw|2|2|0x175
PjH5dZGfQHQ|2|2|0x2FA
cV6KpJiF0Ck|2|2|0x1C9
NeiFvKblpZM|2|2|0xD8
hXsvfky362s|2|2|0x52
JJ-mkOhdook|2|2|0x1D
XcuCO1YXaRs|2|2|0xB
aC9OWBGjvxA|2|2|0x1C2
StJaKYTRdUE|2|2|0x21
RP7ijkGGx50|2|2|0xF
4GbIwW5u5us|2|2|0x94
MB1VCygerRU|2|2|0xAA
7VRfkz22vPk|2|2|0x21
EYZJsnX58DE|2|2|0xF
lZVehk7yFok|2|2|0xDF
041c37QfoUc|2|2|0xC6
olsoiZsezkk|2|2|0x3
0WY1SH7eoIs|1|1|0x4
-Bl9-SZ2noc|1|2|0x3D8
57mMrw0l-40|1|2|0x3D8
Uw3OTZFPNt4|1|2|0x65
2yOarodWACE|1|2|0x65
9BI3oYkCTCU|2|2|0xB
0fkFA3za2N8|2|2|0x1
uqLGWOX7-YE|2|2|0x87
2bASh0rEeXI|1|1|0x68
CvJ3HUPlMIY|1|1|0x60
awr1A2VAVZQ|1|1|0x60
d-YRIvO0jXI|1|1|0x60
dDIjj8NBxNA|2|1|0x18
37CMzzbbHn8|2|1|0x18
iXChH4Elf7M|2|1|0x28
Lc-l1GQi7tg|2|1|0x28
muIOyDB+DP8|2|1|0x10
hbU5HOTy1HM|2|1|0x18
RjWhdj0ztTs|2|1|0x18
NXKsxT-x76M|2|1|0x11
coVkgLzNtaw|2|1|0x27
0Ys3rv0tw7Y|2|1|0x27
R72NCZqMX58|2|1|0x27
qiloU7D8MBM|2|1|0x29
YrYO5bTIPqI|2|1|0x19
wYWYC8xNFOI|2|1|0x22
Tx5Y+BQJrzs|2|1|0x90
DBO-xlHHEn8|2|1|0x50
BMuRmwMy6eE|2|1|0x50
H-TDszhsYuY|2|1|0x68
izmoTISVoF8|2|2|0x2A
q05IXuNA2NE|2|2|0x17
0j1jspKbuFk|2|2|0x2A
HSkPyRyFFHQ|2|2|0x17
AoZRvn-vaq4|2|1|0x10
c6Lyc6xOp4o|2|2|0x6
DDnr3lDwW8I|2|2|0xA
E5NdzqEmWuY|2|2|0xE
NQ81EZ7CL6w|2|2|0x3
PJ2UDX9Tvwg|2|2|0x186
eoW60zcLT8Q|2|2|0x1F9
m6rjfL4aMcA|2|2|0xE0
RYTHR81Y-Mc|2|2|0xF
Mo6K-pUyNhI|2|2|0x3
BvRS0cGTd6I|2|2|0x1E
9Vyfb-I-9xw|2|2|0x3
+uPwCGfmJHs|2|2|0x301
0FKwlv9iH1c|2|2|0x23B
lynApfiP6Lw|2|2|0xE0
BcbHFSrcg3Y|1|2|0xE8F
vwMx2NhWdLw|2|2|0xB
TuhGCIxgLvA|2|2|0x1
zYHryd8vd0w|2|2|0xB
Oeo9tUbzW7s|2|2|0x1
+TtUFzALoDc|2|1|0x18
v1WebHtIa24|2|1|0x18
Tt3ZSp9XD4E|2|1|0x1A
9XL3Tlgx6lc|2|1|0x1A
9H2BStEAAMg|2|1|0x68
jlNI3SSF41o|2|1|0x68
fkFGlPdquqI|1|2|0x75F
U54NBtdj6UY|1|2|0xE
7OCTkL2oWyg|1|2|0xE
2KNnG2Z9zJA|1|2|0x2C
log6zy2C9iQ|1|2|0x2C
djHbPE+TFIo|1|2|0x2F
j7e7EQBD6ZA|1|2|0x2F
eT2UsmTewbU|1|2|0x34
UWyL6KoR96U|1|2|0x4F
tQIo+GIPklo|1|2|0x4F
ozMAr28BwSY|1|2|0x4F
y7aMFEkj4PE|1|2|0x4F
saSUnPWLq9E|1|2|0x4F
NU-T4QowTNA|1|2|0x4F
MELi-cKqWq0|1|2|0x34
ZRRBeuLmHjc|2|2|0x12
GvYZax3i-Qk|2|2|0x12
pDtTdJ2sIz0|2|2|0x12
AzBnOt1DouU|2|2|0x12
TgEb5a+nOnk|2|2|0xA2
